time,duty,rpm
9.651,-0.199,-17012
9.703,-0.199,-17048
9.755,-0.199,-17066
9.807,-0.199,-17078
9.859,-0.2,-17084
9.911,-0.199,-17099
9.963,-0.199,-17095
10.015,-0.199,-17111
10.067,-0.199,-17111
10.119,-0.199,-17099
10.171,-0.199,-17082
10.223,-0.199,-17044
10.274,-0.199,-17020
10.326,-0.199,-17003
10.378,-0.199,-16993
10.43,-0.199,-16987
10.481,-0.199,-16979
10.533,-0.199,-16996
10.585,-0.199,-17020
10.637,-0.199,-17053
10.689,-0.2,-17074
10.74,-0.199,-17074
10.792,-0.199,-17070
10.844,-0.199,-17074
10.896,-0.199,-17061
10.947,-0.199,-17055
